,目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
0,1.0,2.0,753.04,87.65,81.56,85.61,85.63,85.81,82.35,84.77,2.0,10.0,2.0,10.0,5.0,6.0,1,1983.0,6.0,14.0,2.0,3.0,19.0,11.0,10.0,30.0,5.0,0.0
1,2.0,3.0,88.92,82.95,85.17,85.19,77.76,83.6,82.15,88.87,2.0,20.0,1.0,3.0,3.0,5.0,1,1992.0,6.0,5.0,4.0,4.0,18.0,10.0,8.0,0.0,30.0,0.0
2,3.0,3.0,95.05,93.33,77.66,93.03,88.87,94.17,95.6,95.88,2.0,32.0,1.0,8.0,5.0,6.0,1,1988.0,4.0,9.0,5.0,2.0,24.0,10.0,17.0,0.0,0.0,0.0
3,4.0,3.0,71.15,76.79,66.69,81.93,66.65,77.77,77.58,76.99,2.0,34.0,1.0,5.0,3.0,5.0,1,1986.0,6.0,10.0,4.0,7.0,27.0,10.0,10.0,18.0,25.0,0.0
4,5.0,3.0,70.57,71.65,70.44,74.03,66.65,66.34,62.09,74.44,2.0,36.0,1.0,5.0,3.0,5.0,1,1983.0,6.0,13.0,4.0,2.0,25.0,15.0,15.0,0.0,0.0,0.0
5,6.0,3.0,68.73,70.96,70.44,71.24,69.9,72.49,71.24,70.76,1.0,15.0,1.0,6.0,3.0,5.0,1,1985.0,6.0,9.0,3.0,2.0,15.0,10.0,7.0,30.0,5.0,0.0
6,7.0,3.0,65.97,71.51,66.69,62.5,67.96,64.12,68.95,63.33,1.0,15.0,1.0,5.0,3.0,5.0,1,1990.0,6.0,10.0,3.0,3.0,15.0,10.0,7.0,0.0,0.0,0.0
7,8.0,3.0,59.08,48.15,44.45,60.13,55.55,55.56,40.06,44.43,1.0,22.0,6.0,2.0,4.0,4.0,#NULL!,1999.0,5.0,1.0,5.0,8.0,22.0,14.0,8.0,20.0,20.0,0.0
8,9.0,3.0,82.8,84.86,81.41,84.72,87.69,83.27,84.52,88.52,2.0,30.0,2.0,5.0,3.0,5.0,1,1986.0,6.0,11.0,1.0,2.0,51.0,34.0,19.0,15.0,20.0,0.0
9,10.0,3.0,79.66,80.2,77.81,81.45,73.22,75.03,73.34,74.44,1.0,16.0,1.0,10.0,6.0,6.0,2,1989.0,4.0,10.0,3.0,2.0,26.0,12.0,15.0,26.0,15.0,0.0
10,11.0,3.0,77.81,77.8,77.81,77.77,77.76,75.03,77.77,77.76,1.0,5.0,1.0,5.0,4.0,5.0,1,1993.0,5.0,3.0,7.0,9.0,10.0,9.0,7.0,35.0,5.0,0.0
11,12.0,3.0,75.42,75.78,62.94,73.61,69.9,71.95,77.77,62.55,2.0,5.0,2.0,5.0,3.0,8.0,#NULL!,1970.0,4.0,30.0,4.0,6.0,20.0,8.0,10.0,0.0,25.0,0.0
12,13.0,3.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,29.0,1.0,8.0,5.0,6.0,1,1990.0,8.0,4.0,4.0,3.0,25.0,10.0,13.0,20.0,0.0,1.0
13,14.0,3.0,61.11,76.37,66.69,77.77,55.55,60.84,68.96,70.33,2.0,12.0,2.0,2.0,3.0,2.0,#NULL!,1990.0,6.0,6.0,1.0,8.0,30.0,15.0,12.0,0.0,0.0,0.0
14,15.0,3.0,85.37,82.63,77.81,84.72,82.61,85.81,88.88,85.54,1.0,10.0,1.0,7.0,5.0,6.0,1,1988.0,6.0,9.0,3.0,7.0,38.0,14.0,13.0,0.0,0.0,0.0
15,16.0,3.0,77.81,83.24,70.44,77.77,77.93,75.03,75.66,81.87,2.0,40.0,1.0,12.0,3.0,5.0,1,1980.0,6.0,15.0,5.0,1.0,60.0,50.0,45.0,0.0,0.0,0.0
16,17.0,3.0,75.04,76.54,70.44,77.77,66.59,72.49,73.38,73.66,2.0,35.0,1.0,11.0,5.0,6.0,1,1985.0,4.0,10.0,3.0,3.0,60.0,50.0,45.0,0.0,0.0,0.0
17,18.0,3.0,67.26,74.8,74.05,70.82,82.78,74.7,71.3,73.66,2.0,40.0,2.0,11.0,3.0,5.0,1,1980.0,5.0,16.0,4.0,2.0,50.0,45.0,45.0,0.0,0.0,0.0
18,19.0,3.0,99.04,99.03,99.03,99.98,99.98,99.99,99.99,99.98,2.0,29.0,2.0,8.0,5.0,6.0,1,1990.0,8.0,4.0,4.0,3.0,42.0,26.0,13.0,30.0,20.0,0.0
19,20.0,3.0,63.38,51.77,40.7,59.66,53.93,50.59,57.65,47.41,1.0,2.0,3.0,4.0,3.0,5.0,1,1994.0,6.0,4.0,4.0,8.0,40.0,14.0,21.0,15.0,0.0,0.0
1944,1945.0,2.0,77.27,80.99,85.17,81.03,77.76,83.6,77.92,73.66,2.0,13.0,1.0,8.0,3.0,2.0,#NULL!,1990.0,5.0,7.0,7.0,9.0,10.0,5.0,6.0,30.0,10.0,0.0
1945,1946.0,2.0,76.37,83.96,74.2,85.61,80.94,71.95,82.02,88.87,2.0,32.0,2.0,8.0,3.0,5.0,1,1988.0,6.0,13.0,5.0,4.0,20.0,10.0,12.0,0.0,0.0,0.0
1946,1947.0,2.0,81.31,81.18,74.2,81.45,82.39,77.24,75.3,77.34,2.0,33.0,2.0,12.0,4.0,2.0,1,1986.0,6.0,10.0,7.0,9.0,16.0,9.0,12.0,0.0,0.0,0.0
1947,1948.0,2.0,85.24,94.31,74.05,89.77,84.55,91.96,90.98,92.98,2.0,15.0,2.0,7.0,3.0,5.0,1,1987.0,6.0,9.0,4.0,4.0,21.0,7.0,8.0,20.0,20.0,0.0
1948,1949.0,2.0,72.41,72.09,59.33,70.82,71.67,69.41,71.24,70.76,1.0,12.0,2.0,10.0,3.0,5.0,1,1988.0,6.0,9.0,3.0,4.0,20.0,12.0,15.0,35.0,0.0,0.0
1949,1950.0,2.0,81.49,88.92,77.81,88.88,77.76,86.14,88.88,81.44,2.0,35.0,2.0,7.0,3.0,5.0,1,1985.0,5.0,12.0,4.0,2.0,28.0,14.0,15.0,20.0,0.0,0.0
1950,1951.0,2.0,89.72,93.46,92.67,92.61,87.34,97.25,95.6,88.45,1.0,30.0,1.0,5.0,3.0,5.0,1,1985.0,5.0,13.0,5.0,2.0,33.0,15.0,14.0,0.0,30.0,0.0
1951,1952.0,2.0,85.04,84.65,81.56,88.88,85.63,83.06,86.6,85.54,2.0,8.0,2.0,9.0,3.0,5.0,1,1989.0,6.0,8.0,7.0,9.0,60.0,45.0,40.0,10.0,10.0,1.0
1952,1953.0,2.0,66.69,66.69,66.69,66.66,66.65,66.66,66.67,66.66,2.0,32.0,1.0,10.0,5.0,6.0,1,1988.0,6.0,10.0,2.0,5.0,12.0,8.0,3.0,20.0,30.0,0.0
1953,1954.0,2.0,84.8,91.88,74.05,92.61,81.31,94.17,90.98,92.2,2.0,15.0,2.0,8.0,3.0,5.0,1,1987.0,5.0,8.0,4.0,4.0,21.0,8.0,9.0,10.0,20.0,0.0
1954,1955.0,2.0,79.9,76.91,85.17,76.87,76.46,75.23,84.49,77.42,2.0,29.0,1.0,14.0,5.0,6.0,1,1981.0,4.0,18.0,4.0,6.0,13.0,7.0,4.0,0.0,50.0,0.0
1955,1956.0,2.0,74.43,70.92,77.81,82.35,77.76,69.74,84.31,71.11,2.0,26.0,1.0,8.0,2.0,3.0,#NULL!,1994.0,5.0,7.0,3.0,4.0,20.0,5.0,15.0,30.0,15.0,0.0
